accuracy,api,ci_high,ci_low,latency_ms,method,model,n,source,task,tokens
0.1458,openai,,,658.7,BARE,gpt-4.1-nano,3,hand_tuned_baselines_openai_lawbench_2_2.json,lawbench_2_2,517.19
0.1667,openai,,,659.8,RAG,gpt-4.1-nano,3,hand_tuned_baselines_openai_lawbench_2_2.json,lawbench_2_2,524.31
0.2083,openai,,,925.1,CoT-RAG,gpt-4.1-nano,3,hand_tuned_baselines_openai_lawbench_2_2.json,lawbench_2_2,637.25
0.1667,openai,,,1909.4,voting-RAG,gpt-4.1-nano,3,hand_tuned_baselines_openai_lawbench_2_2.json,lawbench_2_2,1559.06
0.1667,openai,,,659.8,diverse-RAG,gpt-4.1-nano,3,hand_tuned_baselines_openai_lawbench_2_2.json,lawbench_2_2,524.31
0.4792,gemini,,,854.6,BARE,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_lawbench_2_2.json,lawbench_2_2,478.65
0.5,gemini,,,862.8,RAG,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_lawbench_2_2.json,lawbench_2_2,484.98
0.3542,gemini,,,1842.4,CoT-RAG,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_lawbench_2_2.json,lawbench_2_2,744.46
0.4792,gemini,,,2801.8,voting-RAG,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_lawbench_2_2.json,lawbench_2_2,1440.47
0.5,gemini,,,862.8,diverse-RAG,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_lawbench_2_2.json,lawbench_2_2,484.98
0.72,openai,,,802.2,BARE,gpt-4.1-nano,3,hand_tuned_baselines_openai_news_hard_50.json,news_hard_50,71.76
0.88,openai,,,672.3,RAG,gpt-4.1-nano,3,hand_tuned_baselines_openai_news_hard_50.json,news_hard_50,181.58
0.84,openai,,,973.3,CoT-RAG,gpt-4.1-nano,3,hand_tuned_baselines_openai_news_hard_50.json,news_hard_50,303.0
0.9,openai,,,1936.2,voting-RAG,gpt-4.1-nano,3,hand_tuned_baselines_openai_news_hard_50.json,news_hard_50,356.02
0.86,openai,,,684.7,diverse-RAG,gpt-4.1-nano,3,hand_tuned_baselines_openai_news_hard_50.json,news_hard_50,236.88
0.84,gemini,,,1064.0,BARE,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_news_hard_50.json,news_hard_50,63.54
0.88,gemini,,,765.3,RAG,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_news_hard_50.json,news_hard_50,173.64
0.94,gemini,,,1036.5,CoT-RAG,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_news_hard_50.json,news_hard_50,290.1
0.88,gemini,,,2581.0,voting-RAG,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_news_hard_50.json,news_hard_50,332.2
0.84,gemini,,,806.1,diverse-RAG,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_news_hard_50.json,news_hard_50,228.96
0.6667,gemini,,,978.2,BARE,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_symptom_hard.json,symptom_hard,70.6
1.0,gemini,,,694.4,RAG,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_symptom_hard.json,symptom_hard,184.07
0.9333,gemini,,,1208.2,CoT-RAG,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_symptom_hard.json,symptom_hard,323.0
1.0,gemini,,,2640.7,voting-RAG,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_symptom_hard.json,symptom_hard,359.27
1.0,gemini,,,911.8,diverse-RAG,gemini-2.5-flash-lite,3,hand_tuned_baselines_gemini_symptom_hard.json,symptom_hard,246.33
0.6,openai,,,752.6,BARE,gpt-4.1-nano,3,hand_tuned_baselines_openai_symptom_hard.json,symptom_hard,83.53
0.6667,openai,,,755.9,RAG,gpt-4.1-nano,3,hand_tuned_baselines_openai_symptom_hard.json,symptom_hard,200.2
0.8667,openai,,,1112.0,CoT-RAG,gpt-4.1-nano,3,hand_tuned_baselines_openai_symptom_hard.json,symptom_hard,336.8
0.7333,openai,,,2052.8,voting-RAG,gpt-4.1-nano,3,hand_tuned_baselines_openai_symptom_hard.json,symptom_hard,407.67
